id,category,name,price,yoshi_price
hawaiian-style-poke,pupus-appetizers,Hawaiian Style Poke,,
bbq-pork,pupus-appetizers,BBQ Pork,,
gyoza-yaki,pupus-appetizers,Gyoza Yaki,,
robata-grilled-skewers,pupus-appetizers,Robata (grilled skewers),,
tacos-fish-or-kalua-pork,pupus-appetizers,Tacos (Fish or Kalua Pork),,
agedashi-tofu,pupus-appetizers,Agedashi Tofu,,
spicy-fried-rice,pupus-appetizers,Spicy Fried Rice,1.5,
oh-so-ono-coconut-prawns,pupus-appetizers,Oh So Ono Coconut Prawns,,
ohana-sliders-kalua-or-spam,pupus-appetizers,Ohana Sliders (Kalua or Spam),,
spam-musubi,pupus-appetizers,Spam Musubi,2.0,
tempura-sampler,pupus-appetizers,Tempura Sampler,,
lumpia-shanghai,pupus-appetizers,Lumpia Shanghai,,
veggie-spring-rolls,pupus-appetizers,Veggie Spring Rolls,,
loco-moco,entrees,Loco Moco,,
big-kahuna-fish-chips,entrees,Big Kahuna Fish & Chips,,
ginger-chicken-broccoli,entrees,Ginger Chicken Broccoli,,
kalua-pork,entrees,Kalua Pork,,
curry-rice,entrees,Curry Rice,,
kalua-pork-sandwich,entrees,Kalua Pork Sandwich,,
island-style-baby-back-ribs,entrees,Island Style Baby Back Ribs,,
adobo,entrees,Adobo,,
chicken-katsu,entrees,Chicken Katsu,,
ohana-cheeseburger,entrees,Ohana Cheeseburger,3.5,
yakisoba,entrees,Yakisoba,,
ohana-bento-box,entrees,Ohana Bento Box,,
shogun,entrees,Shogun:,,
sumo,entrees,Sumo:,,
tofu-teriyaki,yosh-teriyaki,Tofu Teriyaki,,
chicken-teriyaki,yosh-teriyaki,Chicken Teriyaki,,
spicy-chicken-teriyaki,yosh-teriyaki,Spicy Chicken Teriyaki,,
beef-teriyaki,yosh-teriyaki,Beef Teriyaki,,
salmon-teriyaki,yosh-teriyaki,Salmon Teriyaki,,
spicy-beef-teriyaki,yosh-teriyaki,Spicy Beef Teriyaki​,,
edamame,greens-soup,Edamame,,
nabeyaki-udon,greens-soup,Nabeyaki Udon,,
ohana-salad,greens-soup,Ohana Salad,,
banana-cream-pie,desserts,Banana Cream Pie,,
chocolate-molten-lava-cake,desserts,Chocolate Molten Lava Cake,,
ice-cream,desserts,Ice Cream,,
pele-s-ice-cream,desserts,Pele's Ice Cream,,
seaweed-salad,appetizers,Seaweed Salad,,
hamachi-jalapeno,appetizers,Hamachi Jalapeno,,
ohana-tuna-poke,appetizers,Ohana Tuna Poke,,
saba,nigiri-and-sashimi,Saba,,
tamago,nigiri-and-sashimi,Tamago,,
masago,nigiri-and-sashimi,Masago,,
ebi,nigiri-and-sashimi,Ebi,,
shiro-maguro,nigiri-and-sashimi,Shiro Maguro,,
shiromi,nigiri-and-sashimi,Shiromi,,
tobiko,nigiri-and-sashimi,Tobiko,,
tako,nigiri-and-sashimi,Tako,,
sake,nigiri-and-sashimi,Sake,,
hamachi,nigiri-and-sashimi,Hamachi,,
maguro,nigiri-and-sashimi,Maguro,,
unagi,nigiri-and-sashimi,Unagi,,
hotate,nigiri-and-sashimi,Hotate,,
ikura,nigiri-and-sashimi,Ikura,,
inari,nigiri-and-sashimi,Inari,,
avocado-roll,sushi-rolls,Avocado Roll,,
cucumber-roll,sushi-rolls,Cucumber Roll,,
oshinko-roll,sushi-rolls,Oshinko Roll,,
tuna-or-salmon-roll-tekka-or-sake-maki,sushi-rolls,Tuna or Salmon Roll (Tekka or Sake Maki,,
veggie-roll,sushi-rolls,Veggie Roll,,
california-roll,sushi-rolls,California Roll,,
belltown-roll,sushi-rolls,Belltown Roll,,
creamy-crunchy-salmon,sushi-rolls,Creamy Crunchy Salmon,,
item,sushi-rolls,,,
spicy-tuna-roll,sushi-rolls,Spicy Tuna Roll,,
spicy-salmon-roll,sushi-rolls,Spicy Salmon Roll,,
aloha-roll,sushi-rolls,Aloha Roll,,
salmon-skin,sushi-rolls,Salmon Skin,,
da-kine-roll,sushi-rolls,Da Kine Roll,,
eel-roll,sushi-rolls,Eel Roll,,
chizuko-roll,sushi-rolls,Chizuko Roll,,
king-i-roll,sushi-rolls,King & I Roll,,
spider-roll,sushi-rolls,Spider Roll,,
super-crunchy-roll,sushi-rolls,Super Crunchy Roll,,
sakura-roll,sushi-rolls,Sakura Roll,,
crunchy-dynamite,sushi-rolls,Crunchy Dynamite,,
dragon-roll,sushi-rolls,Dragon Roll,,
rainbow-roll,sushi-rolls,Rainbow Roll,,
firecracker-roll,sushi-rolls,Firecracker Roll,,
half-baked,sushi-rolls,Half Baked,,
sushi-combo,chef-s-choice-dinner-plates-with-miso-soup-no-substitutions,Sushi Combo,,
sashimi-combo,chef-s-choice-dinner-plates-with-miso-soup-no-substitutions,Sashimi Combo,,
sushi-and-sashimi-combo,chef-s-choice-dinner-plates-with-miso-soup-no-substitutions,Sushi and Sashimi Combo,,
blue-hawaiian,drinks,Blue Hawaiian,,
big-island-ice-tea,drinks,Big Island Ice Tea,,
mala-shake,drinks,Mala Shake,,
kj-s-pearl,drinks,KJ’s Pearl,,
mango-madness,drinks,Mango Madness,,
mahalo-mai-tai,drinks,Mahalo Mai Tai,,
lychee-martini,drinks,Lychee Martini,,
lava-flow,drinks,Lava Flow,,
strawberry-guava-martini,drinks,Strawberry Guava Martini,,
molokai-mule,drinks,Molokai Mule,,
toshiro-old-fashion,drinks,Toshiro Old Fashion,,
draft-beer-rotating-hard-cider,drinks,Draft Beer Rotating Hard Cider,,
house-red-or-white,drinks,House Red or White,,
house-wells-hot-or-cold-sake,drinks,House Wells Hot or Cold Sake ​,,
raspberry-lemondrop,drinks,Raspberry Lemondrop,,
blue-hawaiian,drinks,Blue Hawaiian,,
gold-apple-at-sea,drinks,Gold Apple at Sea,,
aloha-iced-tea,drinks,Aloha Iced Tea,,
strawberry-sake-margarita,drinks,Strawberry Sake Margarita,,
best,seattle-sbesthappy-hour-monday-friday-3-6pm,Best,,
hydration-station-beer-wine-sake-spirits,hydration-station-beer-wine-sake-spirits,"Hydration Station *Beer, Wine, Sake & Spirits*",,
rolls,from-the-water,Rolls,,
ohana-sliders,from-the-beach,Ohana Sliders,,
chicken-katsu-fillet,from-the-beach,Chicken Katsu Fillet,,
bbq-pork,from-the-beach,BBQ Pork,,
temaki-hand-rolls,from-the-beach,Temaki Hand Rolls,,
gyoza,from-the-beach,Gyoza,,
mini-ohana-salad,from-the-beach,Mini Ohana Salad,,
spam-musubi,from-the-beach,Spam Musubi,,
agedashi-tofu,from-the-beach,Agedashi Tofu ​,,
sushi-special,from-the-beach,Sushi Special,,
sashimi-special,from-the-beach,Sashimi Special,,
hawaiian-style-poke,from-the-beach,Hawaiian Style Poke,,
